mean_temp,min_temp,max_temp,dewpoint_temp,pressure,humidity,cloud,rainfall,low_visibility_hour,sunshine,radiation,evaporation,wind_direction,wind_speed
12.1,8.1,16.8,1.5,1027.6,48,35,0,0,10.3,21.24,3.4,10,31.3
15.4,12.1,19.8,8.3,1024.1,63,41,0,0,9.7,19.86,2.9,70,16.9
16.8,15.7,17.8,14.3,1019.7,85,84,0.4,6,0,2.26,0.2,30,21.9
18.8,17.4,20.3,17.6,1016.2,93,89,0,8,0.1,7.28,0.9,30,18.4
20,18.9,21.6,19.4,1014.4,96,88,0,1,1.2,11.01,1.9,20,18
22.9,20.8,26.6,21.6,1015,92,65,0,1,7,16.59,3.5,10,5.8
19.2,17.8,21.9,16.7,1020.4,86,85,0,14,0,3.25,1.9,20,23.3
19,17.3,20.7,14.8,1022.6,77,87,0,8,0.2,10.29,2,60,22.5
20.9,18.7,24.4,17.1,1020.2,79,60,0,21,9,16.1,2.7,30,5.1
21.2,18.9,25.2,16.9,1016.3,78,29,0,8,10.2,21.16,3.6,30,10.2
21.9,19.7,24.5,18.7,1013.4,82,79,0,9,1,8.2,2.1,300,6.8
22.7,20.1,28.1,18.9,1013.7,80,50,0,14,8.7,19.83,4.8,90,14.5
21.5,19.3,25.5,17.3,1013.3,77,66,0,22,8.3,20.29,3.9,40,23
22.9,20.8,26.4,20.8,1010.9,88,82,0,6,3.4,14.7,2.8,30,14.5
24.4,20.3,29.1,21.8,1010.2,86,71,0,0,4.7,15.29,4.7,100,5.3
16.7,14.7,20.2,11.1,1017.5,71,88,8.9,0,0.3,6.4,4.4,360,45.9
17.5,14.7,20.9,7.4,1021.2,52,28,0,0,10.3,20.93,3.3,80,34
18.3,16.5,20.9,12.1,1021.3,67,86,0,14,0.5,7.54,1.5,50,27.7
19.9,17,24.7,13.2,1020.3,66,32,0,7,10,20.71,5.2,70,21.8
18.5,17.1,19.4,11.2,1020,63,72,0,0,0.6,6.61,2.2,70,45.7
19,17.9,20.5,16,1018.2,83,87,0,7,0.1,4.45,1,50,40.3
21.6,19.9,24.9,18.8,1016,84,77,0,3,6.7,18.75,3.3,40,21.5
23,21.1,26.2,21,1013.6,89,82,0,1,2.3,13.17,2.6,20,9.2
21.2,18.4,24.8,19.8,1015.1,92,87,2,0,1,5.57,1.8,20,20
18.1,17.6,18.4,16.1,1017.6,88,88,0,1,0,3.88,0.7,60,42
18.8,17.7,20.1,17.5,1014.8,92,87,0,12,0.1,7.31,0.9,30,26.5
20.5,19.4,21.7,19.7,1012.4,95,87,0,10,0.1,6.46,1.6,20,15.5
22.9,21.3,25.9,21.6,1012.4,93,88,0,2,0.9,8.49,1.1,20,13.5
19.6,18.1,22.4,18,1016.7,91,88,1.8,2,0,2.06,1.4,50,36.6
17.3,15.5,18.3,15.2,1015.9,88,89,9.6,4,0,2.28,0.2,20,29.9
19.3,17.7,21,17.1,1013.4,87,85,0,8,1.8,11.97,1.5,40,15.8
19.3,18.7,19.9,18.6,1011,96,90,1.7,5,0,1.77,0.1,20,21.1
23.6,19.9,26.2,22,1008.8,91,84,0,2,0.9,7.48,1.4,170,18.7
26.1,24.4,28.4,23.8,1009.4,87,78,0,0,2.1,10.6,2.1,170,12.5
24.6,19.5,29.5,22.9,1013.8,91,83,0.9,2,3.8,15.33,4,150,22.6
19.1,18.1,19.8,17.4,1016.9,90,89,0.3,6,0,5.26,1.3,70,39.6
16.6,13.5,19.7,15.6,1018.1,94,87,8.2,1,0,1.37,1,360,28.9
16.5,14.3,18.3,13.6,1020,83,88,0,0,0,5.24,0.9,20,23.5
18.4,16.4,19.6,15.6,1019.2,84,88,2,0,0,7.22,1.3,60,34
19.2,17.8,20.4,17.9,1016.1,92,88,3.1,1,0.1,6.54,1.2,50,26.8
22,20.2,25.5,20.1,1012.3,89,80,0,13,5.2,18.08,3.7,30,15.2
23.3,21.7,25.6,22.3,1010.4,94,84,1.1,1,0.5,7.41,1,20,11.4
26,23.7,28.4,23.6,1010,87,85,0,0,2,13.01,3,160,16.2
24.4,21.1,28.4,22,1010.9,87,87,6.8,1,0.5,6.64,3.5,190,16.9
21,18.7,25.9,15.2,1016.7,70,74,0,0,6.4,18.85,3.6,350,27.6
21.4,19.6,24.8,14.9,1018.2,67,63,0,1,8.4,23.35,6.6,80,33.7
20.6,19.2,23.6,15.5,1017.4,73,84,0,2,1.7,15.03,3.8,70,37.4
21.8,20.4,24.7,18.2,1016.8,80,86,0.2,4,2.7,13.79,3,50,20.9
21.6,19.8,24.8,17.3,1016,76,85,0,6,0.7,11.6,2.6,10,11.5
22.8,21.2,25.8,19.3,1014.4,81,85,0,13,0.7,10.3,2,30,9.1
21.1,18.1,24.2,19.2,1015.3,89,87,40.6,10,0.4,3.94,1.7,60,28.5
21.3,18.2,26,18.3,1016.7,84,78,0.6,0,6.9,21.89,3.5,40,25.6
23.5,20.8,28.1,20.1,1015.4,82,71,0,1,7.3,21.62,4.8,20,12.4
24.8,22.3,28.5,21,1013.3,80,45,0,0,9.1,23.18,4.7,10,5.7
24.2,22.2,27.8,20.7,1012.1,82,46,0,0,8.8,23.33,4.8,60,16.2
24.1,23,26.8,21.9,1009.6,88,84,0,0,2.2,14.49,2.9,80,21.8
25.9,23.6,27.8,23.6,1007.5,87,88,0,0,1,10.35,1.6,140,11.2
27.3,26,28.7,25,1007,87,85,0.2,0,0.7,7.41,4.6,180,26.4
25.3,23,28.3,23.9,1007,92,87,29.1,0,0.9,9.48,4.1,260,18.6
25.6,24.5,27.2,24.1,1006.8,92,84,0,0,3.6,15.38,3.3,20,10.5
27,24.6,30,24.3,1005.9,86,84,3.9,0,5.9,15.87,5.3,20,14.4
