mean_temp,min_temp,max_temp,dewpoint_temp,pressure,humidity,cloud,rainfall,low_visibility_hour,sunshine,radiation,evaporation,wind_direction,wind_speed
25.8,25.1,27,25.1,1005,96,88,25.7,0,0.1,4.1,2.3,140,15.5
27.7,25.6,32.1,25.1,1005.2,86,72,0,0,5.8,18.45,2.2,160,8.5
28.9,26.4,33.4,24.6,1004.4,78,48,0,0,10.2,23.87,6.1,40,7.9
29.4,26.8,32.9,24,1001.2,74,38,0,0,11.5,26.33,6.7,240,14.7
29.2,26.3,32.5,24.8,999.1,78,66,9.5,0,8.6,19.23,5.6,280,16.4
30.6,27.4,33.6,25,997.2,73,81,0.2,5,7.4,21.02,5.3,280,14.7
31.8,29.3,34.1,24.4,997.1,66,55,0,7,10.7,21.02,6.7,230,16
31,29.6,33,24.4,998.4,68,78,0,7,3.4,12.13,3.3,250,14
29.8,29.3,30.5,26,998.7,80,79,0.4,6,0,6.41,2,240,20
29.5,28.1,31.3,26.3,1000.6,83,86,6.8,1,1,12.02,4,230,18.8
29,25.3,32.5,25.8,1002.2,84,74,2.8,0,6.9,18.66,5.3,120,10
30,27.4,32.9,25.6,1000.9,78,55,0,4,8.9,20.13,5.5,230,15
30.5,28.6,33.4,25.8,999.9,77,65,0,6,9.7,20.7,5.7,270,20.7
30.5,28.5,34.3,25.2,1000.9,74,36,0,0,10.5,23.07,6.4,240,26.7
29.6,27,32,25.2,1003,77,72,7.7,0,4,15.1,6.2,230,26.4
27.6,25.5,29.5,25.1,1004.2,86,84,64.7,0,1,6.39,1.5,230,20.8
27.7,25.1,29.6,25.3,1003.3,87,87,12.4,0,1.3,11.13,3,210,16.3
27.8,26.4,30.1,25.6,1003.3,88,86,9.5,0,1.5,9.24,2.1,230,11
28.4,26.7,31.9,25.7,1004.8,85,54,1.9,0,7.9,19.7,4.2,110,10.4
30,27.2,33.7,25.5,1003.9,77,43,0,2,8.3,17.72,3.5,360,5.3
28.6,25.8,32.6,25.5,1001.5,84,86,15.4,0,4.9,15.48,5.2,70,36.2
28.2,26.8,29.7,25.3,1004.7,85,88,0,0,1.2,8.66,3.9,130,37.8
29.4,28,32.6,25.8,1008.6,81,88,0.1,0,4.4,17.46,1.4,170,16
29.2,27.6,32,24.9,1008.1,78,67,0,0,8.4,21.67,5.9,230,10.2
29.5,27.5,32.9,24.8,1006.3,76,51,0,0,10.3,23.66,5.9,210,11.7
29.1,27.8,31.6,25,1006.4,79,63,0,0,5.9,17.45,4.6,230,11.5
28,26.6,28.9,24.5,1006.3,81,80,5.1,0,0.3,7.63,2.6,280,10.6
28.9,26.6,31.8,24,1006,75,53,0,7,9.4,19.64,5,340,6.1
29.9,27.3,32.8,23.7,1005,70,59,0,2,10,21.24,6.7,10,13.3
30.1,27.8,33.4,22.5,1003.6,64,84,0,0,4.4,15.99,6.1,360,16.3
30.5,28.9,32.8,21.9,1001.3,60,87,0,0,2.2,14.13,5.9,10,26.8
30.8,28.6,33.4,21.9,1001.4,59,76,0,0,9.7,20.14,5.3,280,16.3
31,28.9,34.5,25.5,1004.3,74,50,0,9,10,20.17,6,230,21.5
29.4,26.7,31.8,24.7,1007.2,76,74,2.4,1,7.1,18.99,5.1,230,18.9
30.1,28.6,33.3,25.5,1007.2,77,77,0,0,6.1,17.53,6,220,14
28.5,26,30.9,25.8,1007.6,85,80,20.4,0,6.4,16.12,2.8,120,12.5
27.5,26.4,31.4,25.7,1007.9,90,78,11.1,0,4.9,15.27,4.4,110,26
28.4,25.8,32,25,1008.3,82,57,6.7,0,9.2,23.19,6,110,23.2
29.4,27.4,32.8,24.7,1008.4,76,68,0,0,8.6,23.69,5.7,110,16.6
27.9,25.7,31.9,25,1010.3,85,79,7.6,0,4.3,13.42,3.1,100,26.7
28.2,25.5,31.6,24.8,1012.6,82,65,0.5,0,6.3,16.94,4.1,80,28.4
29,26.7,32.2,25.6,1013.1,82,84,2.3,0,5.9,18.84,4.4,80,31.4
28.6,27.5,30.4,25.9,1013.3,86,76,4.7,0,2.3,12.38,2.7,120,19.8
28.8,27.2,31.2,25.2,1012.1,81,60,8,0,5.7,12.03,6.7,30,5.8
29.5,27.7,32.7,25.1,1010.9,78,44,0,0,10.4,24.18,3.6,120,7.7
29.3,27.7,31.8,24.7,1010.3,77,59,0,0,5,11.42,3.1,180,8.8
29.9,27.8,33.6,24.9,1009.9,75,54,0,0,10.8,25.19,6.2,120,14.5
29.8,27.9,33.2,25.1,1009.1,77,53,0,0,10.1,25.94,5.7,120,13
29,27.2,32.8,24.1,1008.5,75,60,0.7,0,7.1,15.9,6.9,120,13.3
26.9,24.8,30.5,19.7,1009.3,65,61,0,0,7,18.52,5.5,20,33.6
26.5,24.2,28.9,19.5,1010.3,65,85,0,0,2.1,12.95,5.2,20,23.8
27,24.3,29.5,19.2,1010.8,63,23,0,0,11.1,23.24,5.9,20,13.3
27,23.6,30.8,16.8,1011.3,54,4,0,0,11.3,23.47,5.5,10,15.7
27.4,25.3,30.4,18.6,1010.1,59,68,0,0,5,14.68,3.8,30,10.1
26.9,26,27.7,21.6,1011,73,85,0,0,0,5.74,1.6,100,18.1
27.2,25.5,29.4,23.5,1011.6,80,88,1.8,0,2.2,10.9,3.8,100,33.3
27.7,26.3,29.4,24,1010.7,81,88,1.2,0,3.7,13.63,3.9,90,34.9
28,26,30.5,25.7,1009.1,88,79,23,0,7.4,18.89,5.1,100,17.7
28.5,27,30.5,25.5,1007.3,84,72,0.9,0,3.6,10.29,2.6,160,5.9
27.7,24.8,32,25.4,1007.4,88,82,121.5,0,3.6,12.14,4.2,110,14.7
26.8,24.9,29.4,23.7,1009.9,84,88,22.6,0,4,15.67,3,90,36.2
27,25.5,29.4,23.3,1010.7,81,86,0.4,2,2,9.06,3.4,100,18
28.2,25.2,31.8,20.5,1009.6,64,45,0,0,10.8,22.69,7.5,30,13.8
28.2,26.1,31.4,19.1,1009.3,58,58,0,0,9.7,20.47,7.1,20,29.8
27.5,24.9,31.2,18.9,1011.3,60,23,0,3,9.1,19.68,5.7,20,23
26,24.3,27.7,18.8,1013.4,65,64,0,0,4.2,12.29,4.1,30,22.7
26,24.9,27.2,20.8,1013.8,73,86,0,0,1,10.97,3.7,90,34.1
26.2,24.3,29.3,20.7,1013.3,72,64,0,0,9.3,19.25,4.6,80,29.7
26.1,24.2,29.5,20.9,1010.8,74,44,0,0,9.3,19.89,4.6,90,20.3
26,24,29.3,21.3,1010.4,76,51,0,4,8.7,17.54,4.5,90,20.8
26.6,24.9,30,20.2,1013.4,69,41,0.1,0,9.5,20.31,5,110,31.8
26.9,24.9,30.1,21.4,1015.3,73,54,0,0,8.1,18.32,5.5,100,28.8
26.6,25.1,29.4,20.4,1015.6,69,63,0,1,8.8,18.95,5.8,100,30
26.5,25.2,29,21,1014.1,72,78,0,3,6,14.69,4,110,23.8
26.2,24.2,29.2,21,1013,73,60,0,11,7.6,14.87,4.5,90,14.9
26.3,24,29.6,18.4,1012.8,63,23,0,7,10.2,19.58,5.2,20,18.1
25.8,23.3,29,18.2,1012.9,64,55,0,8,10,19.37,6.1,110,16.8
25.3,23.6,28.2,19.6,1012.9,71,44,0,8,8.5,17.85,2.7,100,15.5
25.3,23.1,27.8,20.4,1012.5,74,67,0,8,5.5,12.53,2.9,100,12.9
25.7,23.8,28.5,21.3,1013.6,77,71,0,21,5.5,14.24,3.9,160,11.2
26.3,24.9,29.1,21.2,1015.1,74,58,0,11,7.1,16.36,4.2,110,14
26.2,24.9,28.9,21.2,1014.7,74,61,0,0,4,11.9,3.4,110,13.7
26.5,24.4,29.5,20.1,1014.1,69,51,0,14,6.1,14.6,6,20,25.4
24.6,23.2,26.4,18.4,1016.4,69,84,0,0,0.6,7.43,3,20,28.9
24.6,23.4,26.7,19.4,1017.5,73,66,0,0,7,16.82,3.7,90,33.2
24.9,23.5,27.5,20.3,1017.3,75,53,0,0,9.3,18.96,4.9,100,26.3
25,22.4,28.7,19.5,1017.4,72,32,0,0,8.4,18.91,3.9,100,23.6
25.7,22.9,29.8,20.3,1015.9,73,20,0,0,9.7,18.15,3.5,130,13.1
26.3,23.7,30.7,20.8,1014.6,73,33,0,6,10,18.75,5,110,16.2
25.6,24,28.7,20.5,1015,74,50,0,0,9.2,19.08,4.7,90,30.9
25.8,24.2,28.8,20.9,1014.7,75,44,0,0,9.3,18.5,4.5,90,27.7
25.1,23.8,26.7,20.6,1014.1,77,85,0.7,0,1.2,8.35,2,60,35.7
26.1,24,27.8,22,1014.7,78,82,0.8,0,0.8,9.67,3,80,37.2
26.2,24.9,28.3,21.9,1015.9,77,79,0,0,6.2,15.09,3.8,90,37.9
25.3,24.6,25.7,21.8,1014.2,81,88,0.4,14,0,3.37,2.409,45.7,
23.2,19.9,24.8,22.3,1012.5,95,90,33.3,1,0,2.49,1.3,80,40.5
19.8,17.7,22.8,15.8,1015.9,79,67,11.1,0,2.9,7.27,3.5,20,38.6
21.1,18.1,24.5,13.6,1016.9,62,44,0,0,9.7,18.66,3.1,20,28
22.6,20.2,25.6,17.2,1015.8,72,58,0,1,9.3,17.87,3.6,90,27.5
23.6,22.3,25.6,19.3,1015.3,77,60,0,0,8.3,17.68,4.1,70,31.4
24.2,21.8,27.8,17.2,1014.6,66,49,0,1,9.5,17.96,5.2,30,17.6
24.1,22.4,26.7,18.3,1015.5,70,51,0,1,8.5,16.86,3.9,90,24
23.7,21.7,26.5,17,1016.7,67,40,0,0,9.9,17.7,4.4,100,26.8
23.2,22.5,24.3,18.7,1015.6,76,80,0,0,4.4,11.84,3.2,90,36.8
23.7,22.7,25.1,20.7,1013.3,84,83,1.9,0,2.5,8.44,1.7,100,28.1
24.9,23.6,26.7,22.8,1012.8,88,65,0,0,2.4,9.39,1.8,120,16.6
25.5,24.3,27.7,23.3,1013.2,88,54,0,0,5.4,11.26,5,60,10.2
22.5,20.8,25.2,16.8,1016.9,71,84,0.3,0,4,12.82,3.2,20,29.8
22.2,20.7,23.9,17.3,1018.1,74,84,0,8,1.7,7.9,2.2,50,20.8
23.1,20.7,25.8,18.7,1016.3,76,40,0,24,9.3,15.79,3,20,10.6
23.4,22.2,25.6,19.1,1015.9,77,77,0,10,5.9,12.77,3.1,80,24.5
23.1,22.5,23.5,19.5,1017.5,80,85,0,0,0.2,3.91,2.7,80,43.3
23.1,22.4,24,19.7,1017,81,88,0,0,0,2.98,1.7,80,39
20.4,18.6,23.7,16.6,1016.2,79,89,3,0,0.3,5.85,0.3,20,28
20.1,18.8,21.2,17.5,1016.7,85,88,0.1,1,0.1,4.73,2.3,70,27.4
22,20.7,23.6,17.8,1016.8,77,63,0,1,5.6,13.06,3.2,80,29
22.1,21.2,23,18.5,1016.2,80,88,0.3,0,0.1,5.3,1.3,80,37
22.6,21.8,23.5,21.4,1013.1,93,90,3,3,0,2.61,0.6,100,25.7
25.1,22.6,27.2,22.9,1011.1,88,79,0.4,0,3,8.94,2.9,50,8.5
22.4,19.4,26.4,19.4,1013.5,83,86,17.7,0,0.2,4.35,2.3,20,27.9
19.5,17.6,20.7,16.4,1017.4,82,91,0,2,0.3,4.33,0.7,20,30.3
21.1,20,22.2,20.6,1015.5,97,96,11.5,1,0,3.21,1,60,29.5
19.3,16,23.3,17.4,1015.8,89,82,0.6,0,0.7,2.29,1.5,20,22.9
16.5,14.6,18.3,15.6,1017.7,95,91,19.5,1,0,2.28,0.2,20,35.6
19.3,17.6,20.5,18.3,1014.8,94,94,1.1,3,0,2.14,0.5,60,27.6
20.3,19.5,21.3,19.4,1014.5,94,98,2.6,1,0,2.9,0.2,40,19.3
20.9,20.2,22.3,20.1,1013.3,95,100,1.9,1,0.1,3.26,0.4,50,23.9
20.8,20.1,21.4,19.5,1015,92,97,0.3,0,0,4.71,1.6,70,32.1
18.1,16.8,20.9,15.9,1015.6,87,90,3.2,0,0.1,4.1,1.2,20,21.8
17.1,16.6,18.3,15.6,1017.3,91,90,10.9,1,0,2.83,0.9,20,22.3
17.3,16.5,17.9,15.3,1016.3,88,88,8.7,2,0,3.03,0.9,60,33.3
16.2,14.9,17.8,13.9,1017.6,86,89,6.5,2,0,2.69,2.5,20,36
16.9,14.6,18.3,11.8,1018.2,72,74,0,0,1.5,5.01,1.2,70,34.4
18.4,16.2,20.3,14.5,1017.8,78,80,0,0,2.3,9.09,1.2,60,26.6
18.8,17,19.8,15,1016.3,79,86,0.9,0,1,6.33,2.9,60,28.5
19,17.3,21.1,14.8,1016.1,77,47,0,0,8.9,16.26,2,90,33.8
18.3,17.6,19.5,13.7,1016.8,74,71,0,0,3.8,10.42,2.3,80,39.1
18.7,17.4,20.9,14.1,1018.2,75,73,0,4,3.6,10.84,2.8,70,29.4
17.9,16.6,19.9,13.3,1020.7,74,69,0,0,7.7,15.02,3.7,60,37.7
18.9,16.7,20.6,14.7,1020,77,49,0,0,8.6,16.12,2.6,70,38.3
21,19,23.1,17.6,1018.6,81,69,0,3,4.1,10.42,1.5,50,20.8
22.3,20.6,24.2,20.2,1015.4,88,73,0,4,3.6,10.19,1.5,40,10
23.5,22.1,26.2,21.2,1015.2,87,70,0,6,7.1,12.87,2.5,50,7.9
21.7,20.7,22.8,19.1,1016.5,85,84,0,3,1,7.28,2.3,70,34.8
17.1,13.7,20.8,13.4,1020.3,79,79,2.3,0,0,1.91,1.9,20,38.1
15.1,13,17.3,11.5,1020,79,88,1.1,0,0,3.35,0.7,50,40
17.8,16.1,19.1,15.4,1017.4,86,88,0,18,0,2.6,0.4,70,43.8
20.7,18.9,22.8,18.9,1016.2,89,76,0,11,1.9,8.66,1.4,70,23.3
18.4,14.6,21.2,13.6,1019,74,64,0,2,8.8,15.31,6.3,20,25
13.3,10.3,16,4.1,1025,54,40,0,0,7.6,15.32,3.2,20,46.1
13.3,10.1,15.4,7.5,1023.6,68,47,0,0,7.6,15.02,2.5,60,27.7
17,14.8,18.7,12.2,1020.3,73,88,0,15,0,4.9,1,50,24.3
18.7,17.5,20.2,14.2,1018.8,75,88,0,7,1.3,8.74,2.4,80,46.8
18.6,18,19.3,14.8,1017,79,83,0,4,0.1,2.67,2,20,33.5
19.7,18,22,15.1,1015.9,75,64,0,6,8.3,15.61,3.7,60,19.3
18,12.6,19.7,15.2,1016.3,84,90,22.1,0,0.5,4.77,2.3,70,37.3
10.4,9,12.6,1.8,1022,57,85,0,0,2.3,10.06,4.2,20,52.3
10.2,7.1,13.2,0.7,1022.6,47,28,0,0,9.3,16.86,2.7,20,25.8
13.9,10.8,17.4,4.5,1020.6,54,67,0,0,5.7,13.23,2.4,30,18
16.8,14.9,19.3,9.7,1019.4,64,57,0,7,4.7,12.04,2.8,60,23.6
16.8,14.5,19.1,11.6,1022.9,72,84,0,1,4,10.09,3.1,50,29.2
12.9,11.3,14.6,7.9,1021,72,88,0,8,0,4.02,1.6,20,23.3
14.3,11.9,17,9.3,1018.5,72,58,0,9,7.9,15.25,3.2,20,19.3
15.1,13.9,17.1,9.7,1019.1,71,36,0,17,8.1,15.4,1.9,20,15.2
15.2,12.7,17.5,9.9,1018.3,71,44,0,19,7.5,14.88,2.9,10,15
17.5,16,20.3,10.9,1017.5,65,67,0,22,6.9,12.54,3,20,11.3
16.2,14.6,18.3,9.1,1019.5,63,57,0,17,6.4,13.28,3.2,20,23.5
14.7,13.1,16.3,8.1,1021,65,83,0,20,1.4,6.46,1.6,20,25.2
16.3,14.6,18.8,11.3,1020.7,73,43,0,23,8.4,13.68,2.5,70,21.1
16.4,14.1,18.7,10.7,1018.7,69,72,0,24,2.1,8.15,2.3,30,12.3
16.8,14.1,19.2,11,1015.5,69,24,0,20,9.4,15.47,3,10,10.1
15.7,12.8,18.7,9.3,1019.1,66,9,0,8,9.8,16.8,2.7,20,22.5
15.9,14.1,17.1,11.3,1021.3,74,77,0,7,0.6,6.71,1.1,70,30.3
17.4,14.9,21.4,11.9,1021.2,71,4,0,18,9.6,15.25,2.5,50,17.3
16.9,15.2,19.6,10.7,1024.4,67,26,0,4,9.5,15.09,4,70,29.5
14.6,13.3,16.6,8.9,1026.8,69,70,0,21,4.1,11.59,2,90,25.9
15,12.9,17.4,9.5,1023.4,70,60,0,1,8,15.31,3.3,70,28.7
17.8,15.8,19.1,13.2,1020.6,75,85,0,0,0,4.8,1,60,25
20.4,18.9,22.8,16,1019.6,76,78,0,2,3.9,12.15,2.2,50,20.6
21.4,18.9,25.6,17.3,1019.1,78,59,0,13,7.9,14.83,3,40,13.6
18.1,16.8,20,15.7,1019.3,86,81,0,19,2.3,8.27,3,70,18.6
18.9,16.6,21.5,14.9,1018.4,78,44,0,22,7.5,14.63,1.5,50,13.3
18.1,15.9,20.8,13.2,1019.2,74,40,0,17,7.7,14.17,2.4,60,16.6
17.7,16.3,19.8,14.1,1018.9,80,74,2.8,16,7.1,15.05,3.1,70,22.3
16.4,15.5,17.7,13.8,1022,85,86,0.6,19,0.1,3.95,2.1,40,19.2
16.2,14.2,18.6,9.7,1022.4,66,49,0,9,8.2,16.5,3.2,80,35
17.8,16,21.2,11.7,1021.9,68,56,0,0,6.9,15.45,3,60,22
18.1,16.6,20.4,13.2,1022.6,74,56,0,0,9.4,18.22,3.8,50,25.8
18.6,16.9,20.9,12,1021.7,66,55,0,0,8.9,18.07,3.2,60,23.8
20.7,17.4,24.9,15.7,1020.1,73,32,0,0,8.5,17.51,2.7,20,14.5
21.1,18.9,26,16.1,1019.8,74,63,0,4,6.4,14.83,3.9,50,20.5
18.9,18.2,19.7,15.8,1018.9,82,85,0,0,0.2,6.72,1.9,80,31.9
21.2,19.1,23.3,18.5,1018.5,85,88,0,2,0.3,6.91,0.8,50,11.6
22.1,20.3,25.2,20,1017.5,88,82,0,4,4.8,13.5,2.6,50,16.4
21.3,19.3,24.6,19,1015.9,87,81,0,2,4.2,12.05,2.9,50,17
19.1,18.1,20.6,17,1014.3,87,88,0,5,1.5,11.17,3,70,31
16.4,14.4,18.7,14,1019.3,86,88,0.2,0,0,4.71,1.8,80,42.8
14.1,11.9,15.8,9.3,1022.6,73,88,0,0,0.1,7.26,2.1,30,22.5
15.9,14,18.3,12.1,1020.6,79,87,0,6,0.1,6.06,1.5,40,18.7
17.2,16,19.6,13.8,1020,80,70,0,0,6.8,17.29,3.5,90,32
19,16.3,22.8,13.9,1020,73,57,0,2,7.5,15.87,3.7,20,17.1
17.4,15.6,20.8,11.9,1020,71,60,0,0,6.5,15.38,3.2,20,21
18.5,16.7,21.2,14.4,1017.3,77,84,0,0,2.1,10.6,2.1,60,19.4
20.8,18,24.4,16.5,1016.9,77,85,0.5,6,5.3,14.77,3.1,70,14.2
17.3,16.2,19.4,14.1,1019.1,82,82,0.1,0,4.3,10.22,2.5,80,37.2
18.2,16.5,21,14.6,1015.6,79,71,0,7,2,8.38,1.8,60,22.1
21.1,18.5,25.4,18.3,1013.1,84,79,0,5,3.8,12.08,1.9,40,8.4
20.9,17.8,26.2,18.4,1014.5,86,67,0,2,6.9,17.42,4.1,40,14.5
17.3,16,19,13.4,1019.9,78,88,0,0,0.2,6.94,2.4,80,34
17.7,16.4,21.4,14.1,1020.4,79,58,0,3,4.7,12.1,2.2,80,27.1
19.1,16.2,22.4,14,1021.5,73,62,0,11,5.8,15.34,3,80,18
18,16.2,21.8,12.9,1023.1,72,54,0,0,7.9,18.15,4.4,80,29.8
18,16.3,20.8,13.2,1020.9,73,84,0,3,0.4,7.22,2.2,70,33.2
19.6,17.3,23.1,14.2,1018.9,71,79,0,0,2.5,12.65,2.6,50,24.6
21.3,19.1,23.8,18.1,1016.2,82,88,0.2,0,0.5,10.52,1.8,50,18.4
22.7,21,25.4,19.6,1014,83,72,0,3,5.4,13.33,2.7,30,6.7
19,18.3,21.9,17.5,1013.8,91,88,0.5,2,0,3.41,0.7,50,26.9
20.1,18.2,22,18.6,1014.2,91,88,0.1,0,0.3,5.7,0.8,40,19.1
17.9,15.1,21.4,15.7,1020.4,88,88,0.8,1,0,1.99,1.4,30,30.2
15.3,13.6,17.4,8.7,1023.7,65,86,0,0,0.1,8.32,4,20,24.8
16.7,13.2,21.7,7.3,1023.4,54,55,0,0,9.3,19.74,4.1,20,19.8
18.5,15.6,22.3,6.3,1023.2,48,29,0,0,10,22.1,4.8,70,29.1
19.3,16.3,23.6,11.3,1021.2,61,7,0,0,10.5,21.91,3.9,60,19.5
20.4,17.2,24.9,12.8,1019.8,63,2,0,0,10.6,20.88,4.5,40,9.8
21.5,17.6,26.4,9.3,1016.8,49,0,0,0,10.6,20.59,4.1,250,9.7
21.5,18.1,26.1,14.5,1014.9,65,11,0,0,10.2,20.24,4.7,250,4.4
21.5,18.5,26.4,15.3,1014.7,69,3,0,0,10.8,22.27,4.5,30,7.5
20.3,18.7,23.2,16.2,1016.7,78,54,0,2,6.4,15.88,3.4,80,24.3
20.4,18.1,23.5,16.6,1015.8,79,71,0.2,0,8.5,19.95,3.2,60,22.4
22.8,20.3,26.6,19,1014.5,80,68,0,1,5,15.52,3.4,30,9.8
19.9,18.4,22.1,16.6,1019.2,82,78,0,3,0.1,4.51,2.4,90,33.8
19.2,17.7,22.3,14.8,1021.3,76,69,0,3,6.1,16.7,3,80,27.9
20,18.5,23.2,16,1019.4,78,51,0,0,5.8,15.18,2.8,60,21.4
21.2,19,23.4,18.8,1013.7,86,82,0,0,2.1,11.15,2.1,40,13.7
23.6,21.2,26.3,20.7,1010.6,84,81,0,0,3.5,13.22,2.6,240,8.5
24.3,22.4,27.6,22,1010.8,88,86,18.2,0,0.4,5.64,2.9,190,14.8
25.1,23.5,28.3,21.5,1012.1,81,70,0,1,4.2,14.9,2.5,200,11.2
20.8,19,23.8,19,1013.8,90,85,0.8,15,0,3.41,1.4,60,24.4
21.5,18.9,26,19,1013.3,86,74,0,8,6.8,17.56,2.7,60,16.5
23.3,21.3,26.2,20.1,1011.5,83,78,0,1,3.1,11.68,2.5,210,8.3
23.4,21.4,25.7,21.2,1010.4,88,79,1.1,2,1.7,7.27,1.6,200,5.3
21.2,19.5,23.1,19.7,1012,91,88,0.9,4,0,3.2,1.2,100,31.1
19,18.4,19.8,18.4,1011.4,97,90,13.6,1,0,2.58,2.1,60,31.7
20,18.6,21.7,18.2,1013.1,90,84,1.5,0,0.4,4.93,1.5,50,16
19.7,18.8,20.4,18.7,1012.5,94,89,31.4,0,0.3,5.01,4.1,60,23.6
20.3,18.7,22.4,18.9,1013.2,92,89,2.7,8,0.4,7.03,1.3,30,20
18.7,17.8,19.6,17.9,1013.1,95,94,58.2,1,0,1.42,4.8,80,39.8
19.7,19,21,18.8,1014.5,94,88,1,0,0.2,4.8,0.8,70,26.6
20.1,18.6,22.4,17.3,1015.4,84,85,0.1,0,1,11.21,1,60,26
21.1,20,22.5,19.9,1014,93,86,13.3,1,0.1,4.74,1.1,40,16.9
19.1,18.2,20,17.6,1012,91,90,9.2,9,0.3,5.09,0.6,70,35.2
19.3,18.5,20.2,18.6,1007.8,96,88,0.5,4,0,4.59,0.8,60,24
23.3,19.7,26.2,22.5,1003,95,88,34.7,0,0,1.4,1.3,240,21.5
20.4,17.1,25,16,1008,77,79,36.8,0,2.7,8.09,3.9,20,35.8
17.4,15.2,19,10.9,1013,66,77,0,0,0,7.86,2.6,20,29.8
18.8,18,19.5,14.7,1013,77,87,0,2,0,5.39,1.5,70,32.8
19.4,18.4,21.2,18.5,1014.3,95,88,25.1,0,0.5,5.21,1.3,40,23.8
18.4,17.7,19.8,17.4,1017.2,93,89,14.1,0,0,2.83,0.5,40,25
17.3,16,18.4,15.4,1017.7,89,88,13.8,0,0,0.98,0.5,80,32.3
17.2,15.7,19,15,1019.4,87,82,2.1,1,0.4,6.1,3.3,60,25.8
19.9,17.5,23.1,12.9,1017,64,78,0,0,5.1,16.9,2.3,90,19.3
21.6,19.7,24.3,15.6,1013.6,69,61,0,17,5.3,14.23,3.5,10,12.5
22.9,19.5,27.1,18.8,1010.9,79,30,0,22,10.8,22.61,3.8,60,10.5
22.8,21,25.2,21,1008.9,89,73,0.4,5,0,5.25,0.4,40,6.4
24.8,23,26.1,23.7,1008.1,94,88,15.6,1,0,2.83,0.3,210,14
25.5,24.2,27.8,23.9,1008.5,91,85,8.2,0,0.9,7.88,1.8,220,13.8
25.2,21.7,28.1,23.9,1009,93,86,8.9,0,0.8,10.75,2.3,230,14.7
22.7,20.8,25.4,21.4,1011,92,82,12.2,0,3.8,15.32,3.7,40,17.3
22,20.4,23.9,20,1014.1,88,87,0.3,1,0.3,6.86,2.4,90,31.6
19.8,18.9,20.5,18,1015.5,89,88,1,9,0,5.09,1.9,80,38.1
22.1,19.4,26.4,20.1,1014.5,89,76,0.5,3,4.9,16.35,2.5,60,21.9
25,22,29.8,21.8,1012.7,83,59,0,0,6.4,18.55,3.3,40,7.7
26,23.1,30.6,23,1011.1,85,74,30.3,0,6.9,20.52,0,220,10.2
22.1,21.1,23.5,19.1,1013,84,87,2.9,0,0.1,4.23,1.8,80,32.8
21.5,20.5,24.2,17.2,1012.8,77,88,0,9,0.6,12.06,2.5,70,35.7
22.1,20.7,23.4,20.1,1012.8,89,88,0,12,0,6.45,1.8,70,28.5
23.7,22.1,25.6,22.5,1012,93,86,0,2,0.3,8.26,1.9,90,22.4
24.4,21.1,29.3,22.3,1009,89,83,23.8,0,2.4,1,3.1,220,20.4
21.8,20.1,25.1,19.4,1009.5,86,76,1.2,2,2.7,8.16,3.1,100,30.6
19.3,16.6,21.9,14.1,1010.6,73,87,0.9,0,0.7,11.03,3.2,60,44.4
19.7,18.7,22.1,17,1011.1,85,88,33.8,0,0.1,6.52,3.8,60,35.5
20.8,18.4,22.5,17.7,1013.7,83,87,0,1,0,6.65,1,60,27
22.1,20.8,24.1,19.8,1014.5,87,86,0,0,0.2,9.4,2.1,60,20.3
22.4,21.3,23.7,20.8,1013.2,91,87,0,4,0,7.87,1.7,70,24.1
23.3,22.3,25.6,21.3,1012.1,89,88,0,2,1.5,13.74,3.3,70,22.1
22.9,22.3,23.2,21.7,1011.1,93,90,29.7,2,0,2.64,3.2,70,30.4
25.2,22.8,29.2,23.6,1010,91,78,31.3,1,5.2,17.45,3.9,90,13.3
25,23.4,28.6,23.5,1008.2,91,77,23.4,0,1.4,8.02,5.3,70,8.8
25.6,23,28.9,22.6,1006.6,84,69,0.1,7,6.9,18.82,1.6,240,10
24.7,24.1,26.5,23.3,1007.8,92,86,1.4,2,1.8,10.56,2.4,40,13
26,23.9,29.9,23.8,1007.6,88,73,0.2,4,7.6,21.3,3.7,50,13.2
26.2,25,28.8,24.6,1006.5,91,72,0,0,3.9,14.87,3.1,130,17.3
28.4,25.9,31,25.7,1005.2,85,81,0,0,1.3,10.75,3.5,200,25.9
27.6,24.7,30,24.9,1005.5,86,83,5.4,0,0,5.78,0.6,230,25.9
25.9,24.8,27.5,24.9,1007.7,94,86,13.9,0,1.7,8.27,3.7,40,7.8
28.3,25.8,30.8,26.1,1006.8,88,85,21,0,4.9,16.13,5.9,230,18.7
29.2,28.2,30.9,26.1,1005.4,84,88,0.1,0,4.7,18.47,2.1,240,28.4
29,25.7,31.6,25.5,1004.8,82,82,26,0,3.9,14.78,3.3,230,25.8
25.7,23.5,29,24.2,1005.5,91,86,26.3,0,1.6,7.97,0,60,11.5
24.8,23.4,26.2,23.9,1006.1,95,90,230.8,0,0,2.34,0,210,15.8
26.5,24.2,29.4,24.1,1009,87,84,0,0,3.1,14.83,3.1,240,7.2
27.8,25.6,31.3,24.2,1009.6,81,71,0,0,8.3,19.16,2.5,160,10.8
25.7,24.6,26.9,25.1,1009.7,96,89,52,0,0,4.71,2,140,17.4
27.8,25.5,29.7,25.3,1007.6,87,85,11.3,0,1.4,8.61,3.4,220,26.8
28.8,27.9,29.8,25.5,1006.9,82,86,0.1,0,0.8,11.34,2.8,240,27
