Unnamed: 0,time,plant.TDryBulb.y,plant.yMod,plant.port_a.m_flow,plant.T_a.T,plant.port_a.p,plant.T_b.T,plant.port_b.p,plant.mFloEnt.m_flow,plant.senTemEnt.T,plant.senTemLvg.T,plant.byp.m_flow,plant.heaPumHea.port_a1.m_flow,plant.heaPumHea.P,plant.heaPumCoo.port_a2.m_flow,plant.heaPumCoo.P,plant.tow.port_a.m_flow,plant.tow.P,substation1.loaHea,substation1.loaCoo,substation1.port_a.m_flow,substation1.Ta,substation1.Tb,substation1.spaceHeating.port_a.m_flow,substation1.spaceHeating.TSouEnt.T,substation1.spaceHeating.TSouLvg.T,substation1.spaceHeating.pumSou.PPum,substation1.PHea,substation1.spaceCooling.port_a.m_flow,substation1.spaceCooling.mWseSou.m_flow,substation1.spaceCooling.mHPSou.m_flow,substation1.spaceCooling.TSouEnt.T,substation1.spaceCooling.TSouLvg.T,substation1.spaceCooling.pumWSESou.P,substation1.spaceCooling.pumHPSou.P,substation1.PCoo,pipWar1.port_a.p,pipWar1.port_b.p,pipCol1.port_a.p,pipCol1.port_b.p
10,25.826273,276.16428,0,-4.0126143,293.15,999998.3,293.15,1000001.7,-1.058133e-16,293.15,293.15,-4.0126143,-2.837836e-25,0.0,-3.7014724e-25,0.0,-1.0644359e-24,0.0,20891.531,12087.35,-0.6408226,293.15,293.15,0.5606592,293.15,293.15,0.32177573,1042.577,1.2014818,0.0,1.2014818,293.15,293.16272,0.0,0.0,1828.0,999998.3,999889.3,1000110.7,1000001.7
11,25.852442,276.1643,0,-4.0423484,293.15,999998.25,293.15,1000001.75,-1.6965241e-16,293.15,293.15,-4.0423484,1.1693534500000001e-23,0.0,8.4240613e-23,0.0,-2.0120751e-23,0.0,20891.537,12087.349,-0.6393982,293.15,293.15,0.5622524,293.15,293.15,0.32481277,1045.5396,1.2016506,0.0,1.2016506,293.15,293.16272,0.0,0.0,1828.2567,999998.25,999888.44,1000111.56,1000001.75
12,25.852442,276.1643,0,-4.0423484,293.15,999998.25,293.15,1000001.75,-1.6965241e-16,293.15,293.15,-4.0423484,1.1693534500000001e-23,0.0,8.4240613e-23,0.0,-2.0120751e-23,0.0,20891.537,12087.349,-0.6393982,293.15,293.15,0.5622524,293.15,293.15,0.32481277,1045.5396,1.2016506,0.0,1.2016506,293.15,293.16272,0.0,0.0,1828.2567,999998.25,999888.44,1000111.56,1000001.75
13,38.655434,276.17133,0,-17.11981,293.15,999969.8,293.14996,1000030.2,8.185274e-16,293.15,293.15,-17.11981,2.341462e-24,0.0,1.764366e-24,0.0,7.226581e-24,0.0,20894.719,12086.557,-0.011834355,293.15,293.15,1.2641388,293.15,293.14975,3.06793,2350.7366,1.2759732,0.0,1.2759732,293.15,293.16977,0.0,0.0,1941.3352,999969.8,999475.6,1000524.4,1000030.2
14,38.655434,276.17133,0,-17.11981,293.15,999969.8,293.14996,1000030.2,1.8947081000000003e-16,293.15,293.15,-17.11981,5.119895000000001e-25,0.0,6.7718950000000005e-25,0.0,1.8947082e-24,0.0,20894.719,12086.557,-0.011834355,293.15,293.15,1.2641388,293.15,293.14975,3.06793,2350.7366,1.2759732,0.0,1.2759732,293.15,293.16977,0.0,0.0,1941.3352,999969.8,999475.6,1000524.4,1000030.2
15,39.19598,276.17163,0,-17.611954,293.15,999968.06,293.14996,1000031.94,9.556482000000001e-17,293.15,293.15,-17.611952,2.5823098e-25,0.0,3.4162358999999997e-25,0.0,9.557173e-25,0.0,20894.854,12086.522,0.011834355,293.15,293.15,1.2906092,293.15,293.14972,3.2343242,2399.9597,1.278775,0.0,1.278775,293.15,293.17007,0.0,0.0,1945.5979,999968.06,999457.8,1000542.2,1000031.94
16,39.19598,276.17163,0,-17.611954,293.15,999968.06,293.14996,1000031.94,9.556482000000001e-17,293.15,293.15,-17.611952,2.5823098e-25,0.0,3.4162358999999997e-25,0.0,9.557174e-25,0.0,20894.854,12086.522,0.011834355,293.15,293.15,1.2906092,293.15,293.14972,3.2343242,2399.9597,1.278775,0.0,1.278775,293.15,293.17007,0.0,0.0,1945.5979,999968.06,999457.8,1000542.2,1000031.94
17,476.27985,276.3897,0,-59.05317,293.14948,999641.2,293.0905,1000358.8,-1.4616896e-15,293.15,293.15,-59.053154,-3.9497698e-24,0.0,-5.2241663e-24,0.0,-1.4617031e-23,0.0,21014.79,12061.48,2.4465947,293.1476,293.07947,4.029649,293.168,291.92072,56.41915,10751.756,1.5830542,0.0,1.5830542,292.90396,293.4534,0.0,0.0,2408.545,999641.2,996853.06,1003146.94,1000358.8
18,476.27985,276.3897,0,-59.076427,293.14948,999640.9,293.0905,1000359.1,-1.3110771e-15,293.15,293.15,-59.076412,-3.542803e-24,0.0,-4.68593e-24,0.0,-1.311077e-23,0.0,21014.79,12061.48,2.4465947,293.1476,293.07947,4.029649,293.168,291.92072,56.456352,10751.756,1.5830542,0.0,1.5830542,292.90396,293.4534,0.0,0.0,2408.545,999640.9,996850.8,1003149.2,1000359.1
19,600.0,276.4432,0,-57.354534,293.14844,999661.5,293.01794,1000338.5,1.8325664e-15,293.15,293.15,-57.354523,3.1984129e-24,0.0,-5.895152e-23,0.0,-1.2957468e-22,0.0,21051.984,12054.964,2.432087,293.14633,293.02267,4.0135355,293.18033,291.51883,53.50859,10969.608,1.5814484,0.0,1.5814484,292.72192,293.52603,0.0,0.0,2406.102,999661.5,997014.75,1002985.25,1000338.5
